type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
fixation;1218664;9;54;0.435846;171.582.976;58;2;2;3;0.31759259942919;0.249294506833197;0.205702514996291;231.759.259.942.919;22.492.945.068.332;328.344.355.313.119;p3O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;weR;we;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor2weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;1218718;0;11;2.680.474;7.656.713;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1218729;10;71;2.680.474;7.656.713;58;2;2;2;0.167129620909691;0.249294506833197;0.249294506833197;216.712.962.090.969;22.492.945.068.332;220.821.206.387.144;p3F;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;beF;be;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1beF;Cor1beF;Cor1beF;Cor1beF;Cor2beF;Cor2beF;[];[];[];[];[];[];[];[];[]
saccade;1218800;0;12;2.680.355;-174.276.667;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1218812;11;290;2.680.355;-174.276.667;58;2;2;3;0.31759259942919;0.249294506833197;0.205702514996291;231.759.259.942.919;22.492.945.068.332;328.344.355.313.119;p3O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;beR;be;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor2beR;Cor2beR;[];[];[];[];[];[];[];[];[]
saccade;1219102;0;5;0.888465;-52.299.335;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219107;12;81;0.888465;-52.299.335;58;2;2;3;0.31759259942919;0.249294506833197;0.205702514996291;231.759.259.942.919;22.492.945.068.332;328.344.355.313.119;p3O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;weR;we;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor2weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;1219188;0;15;2.483.502;2.998.187;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219203;13;104;2.483.502;2.998.187;58;2;2;2;0.167129620909691;0.249294506833197;0.249294506833197;216.712.962.090.969;22.492.945.068.332;220.821.206.387.144;p3F;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;beR;be;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor2beR;Cor2beR;[];[];[];[];[];[];[];[];[]
saccade;1219307;0;5;0.367579;-83.773.749;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219312;14;40;0.367579;-83.773.749;58;2;2;2;0.167129620909691;0.249294506833197;0.249294506833197;216.712.962.090.969;22.492.945.068.332;220.821.206.387.144;p3F;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;weR;we;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor2weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;1219352;0;8;2.894.173;-177.185.036;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219360;15;35;2.894.173;-177.185.036;58;2;2;3;0.31759259942919;0.249294506833197;0.205702514996291;231.759.259.942.919;22.492.945.068.332;328.344.355.313.119;p3O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;beR;be;Cor1;Cor1;Cor1;Cor1;Cor2;Cor2;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor2beR;Cor2beR;[];[];[];[];[];[];[];[];[]
saccade;1219395;0;18;10.080.005;11.570.301;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219413;16;49;10.080.005;11.570.301;58;2;1;2;0.302314814180136;0.798634735575736;0.600243295397073;230.231.481.418.014;153.483.987.965.465;241.857.734.691.739;p2P;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;bpF;bp;Cor1;Cor2;Cor2;Cor1;Cor2;Cor2;Cor1bpF;Cor2bpF;Cor2bpF;Cor1bpF;Cor2bpF;Cor2bpF;[];[];[];[];[];[];[];[];[]
saccade;1219462;0;9;1.225.406;-177.921.504;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219471;17;129;1.225.406;-177.921.504;58;2;1;2;0.302314814180136;0.798634735575736;0.600243295397073;230.231.481.418.014;153.483.987.965.465;241.857.734.691.739;p2P;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;weR;we;Cor1;Cor2;Cor2;Cor1;Cor2;Cor2;Cor1weR;Cor2weR;Cor2weR;Cor1weR;Cor2weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;1219600;0;11;2.736.231;-6.767.631;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219611;18;186;2.736.231;-6.767.631;58;2;1;2;0.565277770161629;0.798634735575736;0.898854403610736;256.527.777.016.163;153.483.987.965.465;255.005.882.490.814;p2O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;beF;be;Cor2;Cor2;Cor2;Cor1;Cor2;Cor2;Cor2beF;Cor2beF;Cor2beF;Cor1beF;Cor2beF;Cor2beF;[];[];[];[];[];[];[];[];[]
saccade;1219797;0;5;0.671712;81.147.001;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219802;19;170;0.671712;81.147.001;58;2;1;2;0.565277770161629;0.798634735575736;0.898854403610736;256.527.777.016.163;153.483.987.965.465;255.005.882.490.814;p2O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;weR;we;Cor2;Cor2;Cor2;Cor1;Cor2;Cor2;Cor2weR;Cor2weR;Cor2weR;Cor1weR;Cor2weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;1219972;0;8;1.114.863;-100.053.744;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1219980;20;16;1.114.863;-100.053.744;58;2;1;2;0.565277770161629;0.798634735575736;0.898854403610736;256.527.777.016.163;153.483.987.965.465;255.005.882.490.814;p2O;44;33;55;889.212.962.705.642;100.638.016.212.521;101.976.170.282.394;528.921.296.270.564;409.294.614.233.451;634.107.955.252.008;4;13;weR;we;Cor2;Cor2;Cor2;Cor1;Cor2;Cor2;Cor2weR;Cor2weR;Cor2weR;Cor1weR;Cor2weR;Cor2weR;[];[];[];[];[];[];[];[];[]
saccade;1219996;0;11;304.619;-64.002.896;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;1220007;21;29;304.619;-64.002.896;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;outside;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;bpF;bp;other;other;other;other;other;other;other;other;other;other;other;other;[];[];[];[];[];[];[];[];[]
saccade;1220036;0;15;3.437.225;120.304.828;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
