participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
1;4;0.767270127845423;0.41265011057725;0.41265011057725;bpF
1;5;0.767270127845423;0.0;0.0;beF
1;6;0.767270127845423;0.41265011057725;0.41265011057725;beR
1;7;0.204326605349898;0.33957685904682;0.271951732198359;bpR
1;8;0.204326605349898;0.41265011057725;0.308488357963574;beF
1;9;0.837579861302159;0.219279393262077;0.631479705288798;bpR
1;10;0.837579861302159;0.459874324831562;0.71167801581196;beF
1;11;0.837579861302159;0.219279393262077;0.631479705288798;beR
1;1;0.852479932006191;0.725324105166485;0.649918832630204;bpF
1;2;0.852479932006191;0.346039128365734;0.479127662363898;beF
1;3;0.322595962460593;0.37835041896095;0.25408831478833;bpF
1;4;0.322595962460593;0.37835041896095;0.25408831478833;weR
1;5;0.0;0.346039128365734;0.365514576411531;bpF
1;6;0.0;0.346039128365734;0.365514576411531;weR
1;7;0.0;0.346039128365734;0.365514576411531;weR
1;2;0.820351647525503;0.303785888664453;0.303785888664453;bpF
1;3;0.820351647525503;0.0;0.0;beF
1;4;0.820351647525503;0.303785888664453;0.303785888664453;beR
1;5;0.820351647525503;0.0;0.0;beR
1;6;0.489756192960836;0.313727821770702;0.401742007365769;bpF
1;7;0.489756192960836;0.0;0.489756192960836;beF
1;8;0.489756192960836;0.0;0.489756192960836;weR
1;9;0.822679790598127;0.0;0.76401073503721;bpF
1;10;0.822679790598127;0.323669754876951;0.54384024495708;beF
1;11;0.822679790598127;0.323669754876951;0.54384024495708;weR
1;12;0.820351647525503;0.303785888664453;0.303785888664453;bpR
1;13;0.820351647525503;0.303785888664453;0.303785888664453;weR
1;14;0.820351647525503;0.303785888664453;0.303785888664453;weR
1;15;0.822679790598127;0.323669754876951;0.54384024495708;bpR
1;16;0.822679790598127;0.323669754876951;0.54384024495708;weR
1;1;0.841770503845962;0.186471004411567;0.62333733736783;bpF
1;2;0.850151788933567;0.281913613430965;0.519237145317889;bpF
1;3;0.850151788933567;0.281913613430965;0.519237145317889;weR
1;4;0.850151788933567;0.624910513594148;0.690735595399481;beF
1;5;0.850151788933567;0.624910513594148;0.690735595399481;weR
1;6;0.841770503845962;0.281913613430965;0.655151540374296;bpR
1;7;0.841770503845962;0.281913613430965;0.655151540374296;weR
1;8;0.841770503845962;0.186471004411567;0.62333733736783;beF
1;9;0.52747201332236;0.624910513594148;0.559951513412956;bpF
1;1;0.131688725073808;0.168575499220615;0.207404281864555;bpF
1;2;0.131688725073808;0.702457633422408;0.474345348965452;beF
1;3;0.23598926496279;0.0;0.480909269891881;bpF
1;4;0.23598926496279;0.0;0.480909269891881;weR
1;5;0.23598926496279;0.168575499220615;0.324742384556248;beF
1;6;0.23598926496279;0.168575499220615;0.324742384556248;weR
1;7;0.23598926496279;0.168575499220615;0.324742384556248;weR
1;9;0.559134676681982;0.702457633422408;0.744409241004563;bpF
1;10;0.559134676681982;0.702457633422408;0.744409241004563;weR
1;11;0.559134676681982;0.0;0.786360848586717;beF
1;12;0.559134676681982;0.0;0.786360848586717;weR
1;13;0.559134676681982;0.0;0.786360848586717;weR
1;14;0.131688725073808;0.702457633422408;0.474345348965452;bpR
1;15;0.23598926496279;0.0;0.480909269891881;bpR
1;16;0.131688725073808;0.168575499220615;0.207404281864555;bpR
1;17;0.131688725073808;0.168575499220615;0.207404281864555;weR
1;1;0.785429580117478;0.808339289803164;0.859682188300653;bpF
1;2;0.785429580117478;0.808339289803164;0.859682188300653;weR
1;3;0.785429580117478;0.692018606060819;0.782135065805756;beF
1;4;0.777048298776602;0.786467022569583;0.772462807775699;bpF
1;5;0.777048298776602;0.216296835729944;0.480375606958937;beF
1;6;0.902767687492583;0.7138908732944;0.808329280393492;bpF
1;7;0.902767687492583;0.7138908732944;0.808329280393492;weR
1;8;0.902767687492583;0.216296835729944;0.67394407023837;beF
1;9;0.777048298776602;0.786467022569583;0.772462807775699;bpR
1;10;0.777048298776602;0.216296835729944;0.480375606958937;beF
1;11;0.902767687492583;0.7138908732944;0.808329280393492;bpR
1;12;0.902767687492583;0.7138908732944;0.808329280393492;weR
