rank,NrmzMeanConfPairMean,Refi,NrmzMeanConfEventMean,NrmzMeanConfDetailMean
37,0.925943121806863,bpF,0.0,0.0
38,0.925943121806863,bpF,0.0,0.0
1,0.6089269711282776,beR,0.0,0.0
2,0.6121189661568164,beR,0.0,0.0
3,0.6159971174010485,beR,0.0,0.0
4,0.6155670224460591,beR,0.0,0.0
5,0.6147321064600277,beR,0.0,0.0
6,0.614080031521692,beR,0.0,0.0
7,0.6194237491527442,beR,0.0,0.0
8,0.6104681359195028,beR,0.0,0.0
9,0.6141921606472535,beR,0.0,0.0
10,0.6154780065455505,beR,0.0,0.0
11,0.6109393907340996,beR,0.0,0.0
12,0.605158957504241,beR,0.0,0.0
13,0.6102158919604029,beR,0.0,0.0
14,0.6034316600583217,beR,0.0,0.0
15,0.6002655442770838,beR,0.0,0.0
16,0.5965477809283378,beR,0.0,0.0
17,0.5976844001338181,beR,0.0,0.0
18,0.5927834599817653,beR,0.0,0.0
19,0.5867096521261702,beR,0.0,0.0
20,0.5990028678820597,beR,0.0,0.0
21,0.5968281979697782,beR,0.0,0.0
22,0.5861410250561431,beR,0.0,0.0
23,0.591419655282303,beR,0.0,0.0
24,0.5914111348936741,beR,0.0,0.0
25,0.6105287633066198,beR,0.0,0.0
26,0.6126407374795536,beR,0.0,0.0
27,0.6152881895251828,beR,0.0,0.0
28,0.6029554252068537,beR,0.0,0.0
29,0.60185199800841,beR,0.0,0.0
30,0.5967821341094343,beR,0.0,0.0
31,0.6227983723461907,beR,0.0,0.0
32,0.6160054477392058,beR,0.0,0.0
33,0.6370898463523171,beR,0.0,0.0
34,0.7255522040293406,beR,0.0,0.0
35,0.925943121806863,beR,0.0,0.0
36,0.925943121806863,beR,0.0,0.0
37,0.925943121806863,beR,0.0,0.0
38,0.925943121806863,beR,0.0,0.0
1,0.6089269711282776,weR,0.0,0.0
2,0.6121189661568164,weR,0.0,0.0
3,0.6159971174010485,weR,0.0,0.0
4,0.6155670224460591,weR,0.0,0.0
5,0.6147321064600277,weR,0.0,0.0
6,0.614080031521692,weR,0.0,0.0
7,0.6194237491527442,weR,0.0,0.0
8,0.6104681359195028,weR,0.0,0.0
9,0.6141921606472535,weR,0.0,0.0
10,0.6154780065455505,weR,0.0,0.0
11,0.6109393907340996,weR,0.0,0.0
12,0.605158957504241,weR,0.0,0.0
13,0.6102158919604029,weR,0.0,0.0
14,0.6034316600583217,weR,0.0,0.0
15,0.6002655442770838,weR,0.0,0.0
16,0.5965477809283378,weR,0.0,0.0
17,0.5976844001338181,weR,0.0,0.0
18,0.5927834599817653,weR,0.0,0.0
19,0.5867096521261702,weR,0.0,0.0
20,0.5990028678820597,weR,0.0,0.0
21,0.5968281979697782,weR,0.0,0.0
22,0.5861410250561431,weR,0.0,0.0
23,0.591419655282303,weR,0.0,0.0
24,0.5914111348936741,weR,0.0,0.0
25,0.6105287633066198,weR,0.0,0.0
26,0.6126407374795536,weR,0.0,0.0
27,0.6152881895251828,weR,0.0,0.0
28,0.6029554252068537,weR,0.0,0.0
29,0.60185199800841,weR,0.0,0.0
30,0.5967821341094343,weR,0.0,0.0
31,0.6227983723461907,weR,0.0,0.0
