type;latency;rank;duration;sac_amplitude;sac_angle;iEvent;CorScorePair;CorScoreEvent;CorScoreDetail;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;SumCorConfPair;SumCorConfEvent;SumCorConfDetail;PairNCat;eCorScorePair;eCorScoreEvent;eCorScoreDetail;eNrmzMeanConfPair;eNrmzMeanConfEvent;eNrmzMeanConfDetail;eSumCorConfPair;eSumCorConfEvent;eSumCorConfDetail;iBlock;iEventPerBlock;Refi;Refi2;NrmzMeanConfPair2bins;NrmzMeanConfEvent2bins;NrmzMeanConfDetail2bins;eNrmzMeanConfPair2bins;eNrmzMeanConfEvent2bins;eNrmzMeanConfDetail2bins;NrmzMeanConfPair_CorRefi;NrmzMeanConfEvent_CorRefi;NrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_CorRefi;eNrmzMeanConfEvent_CorRefi;eNrmzMeanConfDetail_CorRefi;eNrmzMeanConfPair_EventOnset2bins;eNrmzMeanConfEvent_EventOnset2bins;eNrmzMeanConfDetail_EventOnset2bins;eCorScorePair_EventOnset2bins;eCorScoreEvent_EventOnset2bins;eCorScoreDetail_EventOnset2bins;eSumCorConfPair_EventOnset2bins;eSumCorConfEvent_EventOnset2bins;eSumCorConfDetail_EventOnset2bins
fixation;482007;8;52;0.762774;149.976.966;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;482059;0;7;0.690821;-16.463.844;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
bad_ET;482086;0;26;0;0;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
saccade;482158;0;5;0.494146;179.391.157;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482163;9;27;0.494146;179.391.157;29;1;1;0;0.678220858681537;0.0724713924715042;0.0849451218596299;138.781.985.496.465;104.149.571.149.913;221.465.778.323.189;p1F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;bpF;bp;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;Cor1bpF;[];[];[];[];[];[];[];[];[]
saccade;482190;0;8;2.181.631;7.021.086;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482198;10;127;2.181.631;7.021.086;29;2;1;1;0.0463899376977695;0.0724713924715042;0.0371634973787155;204.638.993.769.777;104.149.571.149.913;204.394.282.459.845;p1P;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;beF;be;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;Cor1beF;[];[];[];[];[];[];[];[];[]
saccade;482325;0;7;0.620111;-1.177.001;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482332;11;26;0.620111;-1.177.001;29;2;1;1;0.0463899376977695;0.0724713924715042;0.0371634973787155;204.638.993.769.777;104.149.571.149.913;204.394.282.459.845;p1P;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
saccade;482358;0;9;1.994.394;175.935.961;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482367;12;174;1.994.394;175.935.961;29;1;1;0;0.678220858681537;0.0724713924715042;0.0849451218596299;138.781.985.496.465;104.149.571.149.913;221.465.778.323.189;p1F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;beR;be;Cor2;Cor1;Cor1;Cor1;Cor1;Cor1;Cor2beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;Cor1beR;[];[];[];[];[];[];[];[];[]
saccade;482541;0;19;12.108.313;19.361.939;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482560;13;30;12.108.313;19.361.939;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;bpR;bp;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1bpR;Cor1bpR;Cor1bpR;Cor1bpR;Cor1bpR;Cor1bpR;[];[];[];[];[];[];[];[];[]
saccade;482590;0;7;0.872808;83.587.969;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
fixation;482597;14;34;0.872808;83.587.969;29;1;1;2;0.438848790911583;0.125071582727923;0.23127073505526;128.437.031.121.893;11.244.871.344.974;320.442.872.285.817;p3F;35;28;33;114.555.307.151.873;395.670.398.629.374;456.535.443.193.662;421.565.754.297.262;32.078.268.842.016;746.174.221.358.711;2;14;weR;we;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;Cor1weR;[];[];[];[];[];[];[];[];[]
