ppNum,NrmzMeanConfPair,NrmzMeanConfEvent,NrmzMeanConfDetail,N_eNrmzMeanConfPair,N_eNrmzMeanConfEvent,N_eNrmzMeanConfDetail,iEvent,iBlock
1,0.731797778,0.020447859,0.128204195,0.438857856,0.5,0.363530556,39,3
1,0.522608792,0.255202942,0.380740284,0.424707938,0.385965415,0.413605661,40,3
1,0.786826468,0.734470681,0.664840339,0.407368059,0.427603197,0.397185071,41,3
1,0.828518033,0.755685252,0.793971627,0.375186984,0.38696238,0.381912925,42,3
1,0.917929674,0.706838304,0.783759023,0.415071305,0.353814607,0.405567596,43,3
1,0.83068857,0.497256014,0.606252209,0.402759585,0.368332221,0.343585022,44,3
1,0.817593692,0.40505601,0.702432016,0.336132175,0.430130752,0.405678944,45,3
1,0.595347551,0.510061236,0.652723999,0.335012426,0.381559888,0.396909923,46,4
1,0.833039982,0,0.827801672,0.375227248,0,0.395986481,47,4
1,0.767312447,0.441572118,0.582519386,0.397429306,0.423031507,0.430720838,48,4
1,0.927963306,0.397902902,0.632578518,0.386295697,0.346111595,0.393585394,49,4
1,0.901248273,0.047210605,0.362929188,0.315639748,0.5,0.431089937,50,4
1,0.554012775,0.666467817,0.510523582,0.36294826,0.402670219,0.377685207,51,4
1,0.872754119,0.553991353,0.569366999,0.408542544,0.408885015,0.380231499,52,4
1,0.614681695,0.393140059,0.744671201,0.349255964,0.394040559,0.339036706,53,4
1,0.852606915,0.403160084,0.440046805,0.424685341,0.408034755,0.381331956,54,4
1,0.631565599,0.533590488,0.620066303,0.385044673,0.406381584,0.352071974,55,4
1,0.87395374,0.575747624,0.490640265,0.453670637,0.405843921,0.448374948,56,4
1,0.702581164,0.228759764,0.42708829,0.386051258,0.419991238,0.403817289,57,4
1,0.6705466,0.568060682,0.548364027,0.350793474,0.43129926,0.426797533,58,4
1,0.662292291,0.045183395,0.412128802,0.473296524,0.5,0.469891107,59,4
1,0.470781863,0.412868838,0.422480872,0.632455532,0.464390504,0.472870155,60,4
2,0.485847326,0.48843284,0.439897401,0.386621911,0.301195323,0.343861767,1,1
2,0.607239291,0.466905671,0.527974507,0.377779223,0.326997611,0.346282607,2,1
2,0.651176606,0.458165905,0.507790767,0.39153866,0.338128831,0.360767736,3,1
2,0.624337888,0.243858324,0.471505373,0.403869339,0.403125596,0.391608429,4,1
2,0.564217007,0.486334669,0.609367269,0.391565459,0.397316355,0.394294335,5,1
2,0.623947196,0.362754248,0.583511035,0.366730122,0.366827444,0.345473512,6,1
2,0.615407745,0.387851971,0.642005906,0.394679372,0.405078434,0.412066724,7,1
2,0.517480838,0.013382842,0.560851513,0.429895366,0.5,0.310000935,8,1
2,0.65487635,0.636259068,0.725457407,0.416090636,0.405135959,0.411958566,9,1
2,0.747942377,0.803372854,0.752303273,0.368937816,0.363374805,0.418964111,10,1
2,0.610806093,0.353583393,0.530798706,0.37130683,0.381350543,0.408579159,11,1
2,0.463469118,0.444293246,0.41479777,0.388996974,0.371190563,0.409790394,12,1
2,0.688967042,0.497903488,0.590205679,0.367033283,0.329876253,0.381539647,13,1
2,0.674536146,0.482641145,0.567400109,0.390083947,0.355875536,0.342733325,14,1
2,0.63000065,0.585796508,0.583168145,0.28298366,0.394954989,0.404365105,15,1
2,0.673795121,0.560798947,0.684735036,0.378543948,0.365649895,0.420183549,16,2
2,0.727182477,0.364574192,0.52741885,0.395654392,0.399867804,0.372479247,17,2
2,0.254270321,0.637787729,0.477818199,0.433798647,0.39399461,0.373515162,18,2
2,0.708520254,0.664919891,0.60255821,0.396036257,0.38773754,0.397969728,19,2
2,0.422197513,0.398375773,0.259955861,0.353431384,0.399034679,0.392084679,20,2
2,0.301968936,0.396037715,0.297492555,0.415030119,0.420086746,0.413737194,21,2
2,0.286056809,0.444413961,0.436213587,0.401871846,0.424917872,0.403442667,22,2
2,0.407365093,0.401876268,0.444881399,0.370631537,0.377475756,0.393397081,23,2
2,0.392969178,0.427042021,0.527824032,0.365960634,0.31062717,0.32894483,24,2
2,0.482393253,0.307078059,0.328366791,0.321701498,0.411000737,0.431612528,25,2
2,0.882784139,0.273220302,0.452209678,0.38554266,0.416234899,0.399574129,26,2
2,0.788300586,0.440902108,0.63672088,0.368513699,0.385426546,0.398832474,27,2
2,0.4848908,0.527307684,0.452003632,0.363574556,0.374370147,0.291993611,28,2
2,0.691702681,0.267351965,0.310708497,0.421031106,0.403225081,0.442794705,29,2
2,0.448954061,0.271115023,0.338395051,0.386273869,0.409305638,0.442435128,30,2
2,0.326803874,0.35984294,0.331159716,0.414711863,0.424425059,0.397715841,31,3
2,0.557774973,0.441556361,0.551709895,0.399440656,0.3504986,0.376059018,32,3
2,0.767192328,0.55698172,0.738299975,0.404277691,0.372607905,0.386692504,33,3
2,0.545857792,0.181390051,0.43902968,0.389721903,0.372952721,0.396639836,34,3
2,0.69547174,0.606104711,0.628924098,0.387095253,0.36246744,0.417381326,35,3
