;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
6326;6;2;0.0;0.909522906644285;0.388097232741848;beF
6335;6;11;0.15934631022818;0.780222565445533;0.387612994986127;beF
6340;6;16;0.663325338793429;0.726071141259097;0.692845374826976;beF
6346;6;22;0.526676605824386;0.909522906644285;0.654292039431019;beF
6351;6;2;0.795341899445939;0.12266955492664;0.12266955492664;beF
6358;6;9;0.999620161870044;0.211632611487951;0.3580374249151;beF
6366;6;17;0.913461980422114;0.170190175055809;0.584905168462927;beF
6369;6;2;0.206594341127719;0.0;0.206594341127719;beF
6372;6;5;0.787930438648791;0.137588810700024;0.36069997393957;beF
6374;6;7;0.712426234892255;0.0;0.712426234892255;beF
6376;6;9;0.206594341127719;0.288439229514583;0.233875970590007;beF
6391;6;2;0.746704224306093;0.821112417087747;0.809385201345976;beF
6394;6;5;0.771254677946495;0.326566243909791;0.499963793568198;beF
6400;6;11;0.866677159299575;0.165769674587943;0.50255854588325;beF
6404;6;15;0.746704224306093;0.821112417087747;0.809385201345976;beF
6406;6;3;0.175095666285781;0.0;0.102833957059533;beF
6411;6;8;0.780055768074644;0.0;0.780055768074644;beF
6421;6;19;0.780055768074644;0.129300323413596;0.563137286520961;beF
6425;6;3;0.469237818192432;0.493441045837845;0.481339432015138;beF
6430;6;8;0.844906023958398;0.0917258738000162;0.332283329593429;beF
6439;6;17;0.469237818192432;0.493441045837845;0.481339432015138;beF
6443;6;2;0.566976408067737;0.034259065370102;0.300617736718919;beF
6451;6;10;0.200572532025532;0.438737054646636;0.40119273018226;beF
6461;6;20;0.319155837688013;0.481284607303166;0.40022022249559;beF
6464;6;23;0.470164252655739;0.438737054646636;0.454450653651187;beF
6470;6;6;0.923652744609181;0.0;0.106539694912759;beF
6472;6;8;0.821745222012955;0.548697604033826;0.481174759215112;beF
6476;6;12;0.761063913759428;0.0;0.761063913759428;beF
6484;6;20;0.821745222012955;0.0;0.413651914396398;beF
6489;6;25;0.923652744609181;0.0;0.106539694912759;beF
6492;6;3;0.729102014231184;0.661973546557071;0.704422399455733;beF
6499;6;10;0.729102014231184;0.525489843188858;0.613433263876924;beF
6502;6;13;0.786540801863137;0.205554392220612;0.548409925381588;beF
6510;6;2;0.086621398679584;0.0392321506278966;0.0629267746537403;beF
6514;6;7;0.817576266928075;0.0751488992271596;0.447983843388404;beF
6521;6;14;0.086621398679584;0.0;0.086621398679584;beF
6523;6;16;0.630437001540467;0.0696232647497485;0.291896521762295;beF
6528;6;3;0.202888610729145;0.0966989768429667;0.134970879646414;beF
6530;6;5;0.513243343379704;0.0;0.653134582061014;beF
6536;6;12;0.185286415563543;0.0966989768429667;0.0749655453275081;beF
6542;6;18;0.202888610729145;0.0966989768429667;0.134970879646414;beF
6545;6;2;0.147302692023805;0.0;0.100517870901266;beF
6550;6;7;0.166757756116021;0.0;0.0805995895773966;beF
6553;6;10;0.170926718655554;0.0801220200552658;0.12552436935541;beF
6564;6;2;0.916704501043687;0.625504208721591;0.819637736936322;beF
6568;6;6;0.875015054560029;0.135931127470863;0.628653745530307;beF
6573;6;11;0.711036586924622;0.445920396807798;0.551740264511097;beF
6583;6;2;0.428938023403734;0.0077359024965002;0.383241865048831;beF
6589;6;8;0.544742036858274;0.153613236053264;0.30257630829461;beF
6593;6;12;0.778666123834337;0.0806745692748823;0.42967034655461;beF
6601;6;3;0.0333515512232042;0.070728398759293;0.060324600568889;beF
6606;6;8;0.137111942746044;0.101672079885917;0.094417585865411;beF
6617;6;19;0.546131682496329;0.070728398759293;0.326263856756009;beF
6629;6;11;0.119509717761829;0.0;0.142670519707272;beF
6641;6;23;0.70084583764686;0.155823504072354;0.519171726455358;beF
6643;6;2;0.771254677946495;0.385690755577166;0.575461812210737;beF
6648;6;7;0.841663503336824;0.109407982382417;0.597578329685355;beF
6652;6;11;0.29553182037458;0.0;0.0352044201498176;beF
6663;6;22;0.771254677946495;0.385690755577166;0.575461812210737;beF
6666;6;2;0.493325062055834;0.103329763115078;0.298327412585456;beF
6672;6;8;0.597548659628348;0.103329763115078;0.268378205531495;beF
6676;6;12;0.781445412314951;0.117143902664073;0.117143902664073;beF
6687;6;2;0.742535284130519;0.0165769745728566;0.414065723654025;beF
6693;6;8;0.127384395790629;0.0939361418191053;0.133032924906168;beF
6701;6;16;0.80970160380858;0.0165769745728566;0.0648008404550754;beF
6708;6;5;0.736050250342025;0.0397847176326689;0.296114868203537;beF
6714;6;11;0.77449717620411;0.0;0.77449717620411;beF
6725;6;2;0.795805116677592;0.614452897527024;0.735354376960736;beF
6733;6;10;0.796268333909246;0.614452897527024;0.735663188448505;beF
6741;6;18;0.947276748876971;0.171847893855282;0.559562321366127;beF
6744;6;2;0.905124100070966;0.480179473293622;0.692651786682294;beF
6749;6;7;0.843516372263438;0.334854733419364;0.567182793975091;beF
6752;6;10;0.905124100070966;0.480179473293622;0.692651786682294;beF
6760;6;2;0.736050250342025;0.266336584894004;0.460198800709163;beF
6766;6;8;0.616540520466385;0.0;0.526213394183722;beF
6772;6;14;0.736050250342025;0.266336584894004;0.460198800709163;beF
6774;6;16;0.386785374597728;0.412213898442468;0.51784327037204;beF
6778;6;3;0.681390758645338;0.0801220022701101;0.380756380457724;beF
6782;6;7;0.884279369374483;0.186767149628666;0.651775296125878;beF
6792;6;17;0.681390758645338;0.193397944793355;0.437394351719347;beF
6795;6;20;0.786540794408484;0.0011051340095445;0.36139784372179;beF
