;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
7961;7;13;0.896646332973379;0.5326984186539;0.775330361533552;bpR
7964;7;16;0.896646332973379;0.617003734902543;0.803432133616434;bpR
7966;7;18;0.896646332973379;0.5326984186539;0.775330361533552;bpR
7967;7;19;0.688085131585742;0.617003734902543;0.664391332691342;bpR
7971;7;23;0.848445521223566;0.5326984186539;0.743196487033677;bpR
7979;7;8;0.604660644690766;0.565123539141124;0.584892091915945;bpR
7982;7;11;0.875326746746889;0.791172959270365;0.833249853008627;bpR
7983;7;12;0.809514105815566;0.833788825308024;0.821651465561795;bpR
7986;7;15;0.681133088058746;0.791172959270365;0.769941981185388;bpR
7987;7;16;0.746945728990069;0.565123539141124;0.663117461720109;bpR
7989;7;18;0.875326746746889;0.791172959270365;0.833249853008627;bpR
7992;7;21;0.746945728990069;0.565123539141124;0.663117461720109;bpR
7999;7;7;0.746945736448799;0.443760944998028;0.516396419720903;bpR
8000;7;8;0.835004927108729;0.827303798974183;0.628725144443047;bpR
8002;7;10;0.746945736448799;0.443760944998028;0.516396419720903;bpR
8003;7;11;0.787731041567383;0.827303798974183;0.807517420270783;bpR
8014;8;9;0.0;0.0;0.455793169481612;bpR
8016;8;11;0.749078909491069;0.248718504138465;0.403659121469865;bpR
8021;8;16;0.0;0.0;0.455793169481612;bpR
8023;8;19;0.749078909491069;0.248718504138465;0.403659121469865;bpR
8024;8;20;0.689586795531188;0.0;0.66349375660964;bpR
8025;8;21;0.0;0.304147208234072;0.405244515732432;bpR
8037;8;11;0.674974689703871;0.266247237275793;0.323725576717409;bpR
8040;8;14;0.643141184235207;0.266247237275793;0.266247237275793;bpR
8042;8;16;0.674974689703871;0.266247237275793;0.323725576717409;bpR
8048;8;22;0.758472410893452;0.750419269440835;0.754445840167143;bpR
8061;8;7;0.134326958858758;0.310779703914188;0.274902721326212;bpR
8063;8;9;0.725073319058244;0.310779703914188;0.546628852620232;bpR
8067;8;13;0.134326958858758;0.310779703914188;0.274902721326212;bpR
8088;8;12;0.538247174825269;0.183341071771028;0.183341071771028;bpR
8090;8;14;0.600870461518235;0.272879737721016;0.447616527531875;bpR
8092;8;16;0.495454589986116;0.403634610080063;0.449544600033089;bpR
8094;8;19;0.538247174825269;0.183341071771028;0.183341071771028;bpR
8113;8;17;0.256442359511605;0.0;0.470405275308929;bpR
8116;8;20;0.661406308120916;0.236874780368389;0.513285562119323;bpR
8118;8;22;0.256442359511605;0.0;0.470405275308929;bpR
8122;8;26;0.646272348569855;0.421163346076454;0.421163346076454;bpR
8143;8;20;0.577386729008373;0.0;0.518416464573016;bpR
8145;8;22;0.596695579238053;0.0;0.596695579238053;bpR
8159;8;14;0.78717474362903;0.0;0.0;bpR
8164;8;19;0.658275152184705;0.258193503251366;0.425878959077386;bpR
8167;8;22;0.499629476990419;0.476118286704359;0.472474413714433;bpR
8172;8;27;0.78717474362903;0.0;0.0;bpR
8173;8;28;0.658275152184705;0.0;0.593564414903405;bpR
8175;8;30;0.499629476990419;0.476118286704359;0.472474413714433;bpR
8179;8;34;0.78717474362903;0.0;0.0;bpR
8194;8;16;0.158332549291582;0.595029417483741;0.347386564625924;bpR
8204;8;26;0.812745937225273;0.0;0.812745937225273;bpR
8210;8;5;0.755863117079422;0.421637089232887;0.421637089232887;bpR
8220;8;15;0.430221992682244;0.380420881870807;0.481736651615956;bpR
8227;8;22;0.430221992682244;0.442482070210272;0.563425130658263;bpR
8231;8;26;0.649925379225903;0.0028425046836255;0.270022977632266;bpR
8247;8;12;0.0;0.477539536484926;0.52772406380774;bpR
8252;8;17;0.431265708528169;0.477539536484926;0.477539536484926;bpR
8253;8;18;0.0;0.477539536484926;0.52772406380774;bpR
8261;8;26;0.0;0.0;0.577908591130554;bpR
8265;8;30;0.431265708528169;0.0;0.0;bpR
8274;8;11;0.692717951467399;0.0;0.607654650210104;bpR
8286;8;24;0.692717951467399;0.0;0.607654650210104;bpR
8288;8;26;0.774128240965131;0.0;0.608698378653684;bpR
8291;8;29;0.602436043685559;0.43869207158961;0.547854719653576;bpR
8303;8;11;0.728204483392893;0.562814453986669;0.562814453986669;bpR
8306;8;14;0.728204483392893;0.562814453986669;0.562814453986669;bpR
8307;8;16;0.605045350097246;0.562814453986669;0.512876500338078;bpR
8309;8;18;0.681758880495349;0.412162096493317;0.535218624339011;bpR
8313;8;22;0.728204483392893;0.562814453986669;0.562814453986669;bpR
8315;8;24;0.681758880495349;0.469959541149644;0.532731411494665;bpR
8318;8;27;0.728204483392893;0.562814453986669;0.562814453986669;bpR
8334;8;16;0.769953352386121;0.572763191788714;0.648582554488036;bpR
8335;8;17;0.387951278363711;0.0;0.571124404538295;bpR
8336;8;18;0.769953352386121;0.572763191788714;0.648582554488036;bpR
8337;8;19;0.387951278363711;0.0;0.571124404538295;bpR
8343;8;25;0.790827770085859;0.698306820809458;0.699165412595258;bpR
8349;8;31;0.769953352386121;0.407424603935618;0.538356829252639;bpR
8351;8;33;0.387951278363711;0.0;0.571124404538295;bpR
8356;8;5;0.668190498912393;0.530125728272736;0.56797150096762;bpR
8374;8;23;0.668190498912393;0.607346907282764;0.625504976820076;bpR
8375;8;24;0.714114239687756;0.340152160821591;0.589460213399035;bpR
8400;8;20;0.775693810534799;0.691674325129342;0.721246401032079;bpR
8411;8;7;0.393169882788645;0.714414301604972;0.738145925756436;bpR
8413;8;9;0.744904029310496;0.594555668609179;0.490992542425354;bpR
8414;8;10;0.764734756359624;0.483698281384438;0.332450455313813;bpR
8417;8;13;0.744904029310496;0.594555668609179;0.490992542425354;bpR
8418;8;14;0.393169882788645;0.714414301604972;0.738145925756436;bpR
8419;8;15;0.766822188051473;0.483698281384438;0.570766864026457;bpR
8423;8;19;0.393169882788645;0.594555668609179;0.658240170425907;bpR
8425;8;21;0.764734756359624;0.483698281384438;0.332450455313813;bpR
8434;8;6;0.780390552837553;0.84990667414589;0.638306691301773;bpR
8435;8;7;0.847188736507967;0.553339459341056;0.74923897745233;bpR
8436;8;8;0.0299548031725628;0.821481688303008;0.553052267612443;bpR
8438;8;10;0.847188736507967;0.553339459341056;0.74923897745233;bpR
8439;8;11;0.0299548031725628;0.821481688303008;0.553052267612443;bpR
8457;8;17;0.809614764492187;0.564235702516396;0.686925233504292;bpR
8461;8;21;0.812745920428398;0.454325807322648;0.454325807322648;bpR
8466;8;26;0.789784054239935;0.670829351776128;0.772577425725003;bpR
8473;8;5;0.863888282425571;0.702570566398638;0.783229424412105;bpR
8482;8;14;0.863888282425571;0.702570566398638;0.783229424412105;bpR
8483;8;15;0.710983083751546;0.850854175707098;0.757606781070063;bpR
8486;8;18;0.863888282425571;0.702570566398638;0.783229424412105;bpR
8487;8;19;0.863888282425571;0.850854175707098;0.85954358018608;bpR
8499;8;10;0.587823942057461;0.664196852283926;0.734239734747243;bpR
8506;8;17;0.544509503494565;0.666565602374862;0.70694260909927;bpR
8507;8;18;0.822139421830781;0.664196852283926;0.678922495368977;bpR
8519;8;11;0.657231427940343;0.218872281202115;0.451620236154184;bpR
8522;8;14;0.657231427940343;0.218872281202115;0.451620236154184;bpR
8524;8;16;0.749078917889507;0.84990667414589;0.782688169974968;bpR
8537;8;10;0.68906492501057;0.66419684847184;0.679618303391536;bpR
8538;8;12;0.791349640606478;0.66419684847184;0.706059255993497;bpR
8540;8;14;0.546596943584852;0.51496574903843;0.51496574903843;bpR
8544;8;18;0.791349640606478;0.66419684847184;0.706059255993497;bpR
8547;8;21;0.546596943584852;0.51496574903843;0.51496574903843;bpR
8548;8;23;0.691674227223037;0.323097178464869;0.640460191265726;bpR
8558;8;8;0.75481939283506;0.359575904705507;0.359575904705507;bpR
8562;8;12;0.797090107153594;0.0;0.859713393846561;bpR
8565;8;15;0.865975722515857;0.315517185988651;0.590746454252254;bpR
8566;8;16;0.75481939283506;0.359575904705507;0.359575904705507;bpR
8570;8;20;0.865975722515857;0.315517185988651;0.590746454252254;bpR
8589;8;17;0.781956139204095;0.847064177086436;0.847064177086436;bpR
8592;8;20;0.773084508322331;0.557603208742323;0.622124258488146;bpR
8597;8;25;0.751166357979793;0.65756435660381;0.538935497079964;bpR
8602;8;30;0.781956139204095;0.847064177086436;0.847064177086436;bpR
8617;8;13;0.823183146075143;0.473275788989702;0.455967314659701;bpR
8619;8;15;0.505369945112242;0.85369666514238;0.810822216447668;bpR
8621;8;17;0.500673202809488;0.516860744536675;0.583133774508696;bpR
8623;8;19;0.823183146075143;0.85369666514238;0.70958123209482;bpR
8624;8;20;0.736554260550913;0.516860744536675;0.586264936043865;bpR
8636;8;10;0.803874297945072;0.602135663944461;0.602135663944461;bpR
8637;8;11;0.803874297945072;0.74283927219951;0.74283927219951;bpR
8665;8;9;0.899374814351065;0.688831835694059;0.829193821465396;bpR
8667;8;11;0.714114256484632;0.757999266682159;0.728742593217141;bpR
8671;8;15;0.722985878967958;0.688831835694059;0.711601197876659;bpR
8673;8;17;0.714114256484632;0.757999266682159;0.728742593217141;bpR
8676;8;21;0.780390569634428;0.794951736079231;0.785244291782695;bpR
8680;8;25;0.714114256484632;0.757999266682159;0.728742593217141;bpR
8682;8;27;0.722985878967958;0.688831835694059;0.711601197876659;bpR
8683;8;28;0.780390569634428;0.794951736079231;0.785244291782695;bpR
8695;8;10;0.720376576755491;0.457168306288145;0.537076487007046;bpR
8701;8;16;0.720376576755491;0.731469283961695;0.714181066203271;bpR
8702;8;18;0.617570008485644;0.278564727074816;0.504568248015368;bpR
8711;8;28;0.720376576755491;0.731469283961695;0.714181066203271;bpR
8720;8;9;0.588345808378861;0.410267100995072;0.528986239250931;bpR
8728;8;17;0.749078917889507;0.656143108074083;0.702611012981795;bpR
8739;8;30;0.588345808378861;0.656143108074083;0.622244458226472;bpR
8751;8;13;0.545553227738927;0.484172028352956;0.399009535066297;bpR
8757;8;19;0.903027832409456;0.701149317868912;0.800275661517758;bpR
8759;8;21;0.313847041779637;0.726731791403996;0.460868787457848;bpR
8763;8;25;0.903027832409456;0.484172028352956;0.741350188584203;bpR
8773;8;10;0.755341254957241;0.851327926487702;0.777931413998066;bpR
8779;8;16;0.907202729386904;0.75989425265019;0.799429633983902;bpR
8784;8;21;0.900940383920732;0.904861627460892;0.902901005690812;bpR
8785;8;22;0.755341254957241;0.75989425265019;0.716975631439725;bpR
8786;8;23;0.900940383920732;0.857960406919475;0.879450395420104;bpR
8802;8;16;0.893634347803949;0.871699149060312;0.871699149060312;bpR
8805;8;19;0.880065966220994;0.871699149060312;0.880318377280753;bpR
