;participant;rank;NrmzMeanConfPair;NrmzMeanConfEvent;NrmzMeanConfDetail;Refi
20025;16;16;0.717852680815353;0.088343711185436;0.403098196000394;beR
20028;16;19;0.896201173017672;0.0;0.896201173017672;beR
20029;16;20;0.239284218965652;0.0;0.470641849439786;beR
20037;16;6;0.462715251978869;0.634145356639988;0.592194637290288;beR
20041;16;10;0.759962735992934;0.752952407564323;0.752952407564323;beR
20045;16;14;0.759962735992934;0.793062489155368;0.793062489155368;beR
20046;16;15;0.759962735992934;0.752952407564323;0.752952407564323;beR
20051;16;5;0.391375860878221;0.435118150704469;0.47139973301275;beR
20052;16;6;0.391375860878221;0.410239746132416;0.477101321880864;beR
20054;16;8;0.391375860878221;0.435118150704469;0.47139973301275;beR
20055;16;9;0.391375860878221;0.410239746132416;0.477101321880864;beR
20056;16;10;0.391375860878221;0.435118150704469;0.47139973301275;beR
20062;16;16;0.391375860878221;0.435118150704469;0.47139973301275;beR
20065;16;19;0.391375860878221;0.410239746132416;0.477101321880864;beR
20073;16;6;0.372550177333271;0.992089676706348;0.992089676706348;beR
20074;16;7;0.372550177333271;0.124899726225931;0.124899726225931;beR
20087;16;20;0.769870979580131;0.0;0.379485962195346;beR
20090;16;23;0.372550177333271;0.124899726225931;0.124899726225931;beR
20110;16;7;0.0;0.436133594204887;0.462305145834493;beR
20111;16;8;0.0;0.236090942726223;0.362283820095161;beR
20116;16;13;0.680696739458571;0.236090942726223;0.432136979840049;beR
20131;16;9;0.750054484432939;0.245737662108376;0.512263036836731;beR
20136;16;14;0.782751705810845;0.190903655889447;0.492772630191583;beR
20155;16;11;0.708935248830398;0.366067898710605;0.366067898710605;beR
20161;16;5;0.0;0.0;0.385926310361706;beR
20168;16;12;0.565761046875583;0.303618027426733;0.291444404013837;beR
20175;16;3;0.193210861569513;0.206135304310267;0.336564777605381;beR
20176;16;4;0.193210861569513;0.196996308721049;0.333518445742308;beR
20177;16;5;0.193210861569513;0.206135304310267;0.336564777605381;beR
20181;16;9;0.569228935320221;0.206135304310267;0.448197724983569;beR
20193;16;21;0.193210861569513;0.196996308721049;0.333518445742308;beR
20202;16;9;0.0049541377391958;0.471166446037481;0.253913484816972;beR
20204;16;11;0.0049541377391958;0.0731120300809899;0.0548862768387266;beR
20206;16;13;0.0049541377391958;0.471166446037481;0.253913484816972;beR
20216;16;4;0.623228893167077;0.780369418844694;0.675046882474517;beR
20217;16;5;0.623228893167077;0.860081850062942;0.666510180757208;beR
20218;16;6;0.623228893167077;0.780369418844694;0.675046882474517;beR
20219;16;7;0.623228893167077;0.860081850062942;0.666510180757208;beR
20223;16;11;0.519192273712324;0.727566287370242;0.677626946769998;beR
20226;16;14;0.763430624437573;0.377237785386112;0.513730195591475;beR
20252;16;4;0.689614171443525;0.752444683771387;0.728062247727845;beR
20255;16;7;0.0971008445586759;0.42344053206512;0.205880740394157;beR
20259;16;11;0.427540962727966;0.0;0.0;beR
20260;16;12;0.427540962727966;0.44171853141446;0.44171853141446;beR
20261;16;13;0.427540962727966;0.0;0.0;beR
20269;16;4;0.7916691377958;0.298033086131706;0.406878734703096;beR
20273;16;8;0.729742575511828;0.420394197478412;0.578288568052798;beR
20276;16;11;0.642054568739228;0.0;0.0;beR
20286;16;7;0.767889332457251;0.0553417463536782;0.307719981741796;beR
20290;16;11;0.707449019467837;0.125407450018867;0.316779105022818;beR
20291;16;12;0.707449019467837;0.302602588011768;0.434909197018086;beR
20297;16;18;0.839228732527298;0.425979142858892;0.435925187678944;beR
20301;16;22;0.767889332457251;0.0553417463536782;0.307719981741796;beR
20302;16;23;0.767889332457251;0.673239984516982;0.719652140517332;beR
